"t","Ph","Te","Isol"
2013-02-05 02:35:00,80,4.622,-1.3522609819
2013-02-05 03:05:00,80,4.58316666666667,-0.79321705425
2013-02-05 03:35:00,80,4.78733333333333,-0.68288113695
2013-02-05 04:05:00,82,4.854,-0.328875968983333
2013-02-05 04:35:00,80,5.01266666666667,-0.66799095605
2013-02-05 05:05:00,82,4.62466666666667,-1.60264857881667
2013-02-05 05:35:00,82,4.53,-0.76317829455
2013-02-05 06:05:00,82,1.00733333333333,0.264534883716667
2013-02-05 06:35:00,84,1.14033333333333,-0.2754521964
2013-02-05 07:05:00,84,1.74166666666667,0.0983204134333333
2013-02-05 07:35:00,86,2.36466666666667,2.81317829456667
2013-02-05 08:05:00,86,2.77666666666667,14.2310077519333
2013-02-05 08:35:00,86,3.10616666666667,44.19024547805
2013-02-05 09:05:00,76,3.85183333333333,244.480523255817
2013-02-05 09:35:00,60,4.40933333333333,204.674257105933
2013-02-05 10:05:00,68,4.111,280.579651162767
2013-02-05 10:35:00,46,4.42116666666667,245.4484496124
2013-02-05 11:05:00,40,4.645,247.660077519383
2013-02-05 11:35:00,28,5.2305,575.4734496124
2013-02-05 12:05:00,12,5.22516666666667,499.191537467717
2013-02-05 12:35:00,46,4.454,160.727648578817
2013-02-05 13:05:00,70,4.05283333333333,27.8798772609667
2013-02-05 13:35:00,72,3.87233333333333,27.1970284237833
2013-02-05 14:05:00,72,2.90783333333333,44.7097545219667
2013-02-05 14:35:00,74,3.1475,169.850355297167
2013-02-05 15:05:00,46,3.68233333333333,344.199773901817
2013-02-05 15:35:00,68,2.3385,34.5618217054
2013-02-05 16:05:00,74,1.80816666666667,73.8652131782833
2013-02-05 16:35:00,76,1.722,7.92496770025
2013-02-05 17:05:00,82,1.77166666666667,0.04244186045
2013-02-05 17:35:00,82,1.62133333333333,-1.48811369508333
2013-02-05 18:05:00,86,1.376,-1.76146640826667
2013-02-05 18:35:00,86,1.14616666666667,-1.4559754522
2013-02-05 19:05:00,90,1.06383333333333,-1.28194444445
2013-02-05 19:35:00,90,1.03933333333333,-1.22571059433333
2013-02-05 20:05:00,90,1.0275,-1.03930878555
2013-02-05 20:35:00,92,1.0015,-0.922254521983333
2013-02-05 21:05:00,94,1.05583333333333,-0.736983204116667
2013-02-05 21:35:00,94,1.12133333333333,-0.595122739016667
